,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,score_category_math,score_category_reading,score_category_writing
0,female,group B,bachelor's degree,standard,none,72.0,72.0,74.0,Intermediate,Intermediate,Intermediate
1,female,group C,some college,standard,completed,69.0,90.0,88.0,Intermediate,Advanced,Advanced
2,female,group B,master's degree,standard,none,90.0,95.0,93.0,Advanced,Master,Master
3,male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0,Intermediate,Intermediate,Elementary
4,male,group C,some college,standard,none,76.0,78.0,75.0,Advanced,Advanced,Intermediate
5,female,group B,associate's degree,standard,none,71.0,83.0,78.0,Intermediate,Advanced,Advanced
6,female,group B,some college,standard,completed,88.0,95.0,92.0,Advanced,Master,Master
7,male,group B,some college,free/reduced,none,40.0,43.0,39.0,Elementary,Elementary,Elementary
8,male,group D,high school,free/reduced,completed,64.0,64.0,67.0,Intermediate,Intermediate,Intermediate
9,female,group B,high school,free/reduced,none,38.0,60.0,50.0,Elementary,Intermediate,Intermediate
10,male,group C,associate's degree,standard,none,58.0,54.0,52.0,Intermediate,Intermediate,Intermediate
11,male,group D,associate's degree,standard,none,40.0,52.0,43.0,Elementary,Intermediate,Elementary
12,female,group B,high school,standard,none,65.0,81.0,73.0,Intermediate,Advanced,Intermediate
13,male,group A,some college,standard,completed,78.0,72.0,70.0,Advanced,Intermediate,Intermediate
14,female,group A,master's degree,standard,none,50.0,53.0,58.0,Intermediate,Intermediate,Intermediate
15,female,group C,some high school,standard,none,69.0,75.0,78.0,Intermediate,Intermediate,Advanced
16,male,group C,high school,standard,none,88.0,89.0,86.0,Advanced,Advanced,Advanced
17,female,group B,some high school,free/reduced,none,27.0,32.0,28.0,Elementary,Elementary,Elementary
18,male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0,Intermediate,Elementary,Intermediate
19,female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0,Intermediate,Intermediate,Intermediate
20,male,group D,high school,standard,none,66.0,69.0,63.0,Intermediate,Intermediate,Intermediate
21,female,group B,some college,free/reduced,completed,65.0,75.0,70.0,Intermediate,Intermediate,Intermediate
22,male,group D,some college,standard,none,44.0,54.0,53.0,Elementary,Intermediate,Intermediate
23,female,group C,some high school,standard,none,69.0,73.0,73.0,Intermediate,Intermediate,Intermediate
24,male,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0,Intermediate,Intermediate,Advanced
25,male,group A,master's degree,free/reduced,none,73.0,74.0,72.0,Intermediate,Intermediate,Intermediate
26,male,group B,some college,standard,none,69.0,54.0,55.0,Intermediate,Intermediate,Intermediate
27,female,group C,bachelor's degree,standard,none,67.0,69.0,75.0,Intermediate,Intermediate,Intermediate
28,male,group C,high school,standard,none,70.0,70.0,65.0,Intermediate,Intermediate,Intermediate
29,female,group D,master's degree,standard,none,62.0,70.0,75.0,Intermediate,Intermediate,Intermediate
30,female,group D,some college,standard,none,69.0,74.0,74.0,Intermediate,Intermediate,Intermediate
31,female,group B,some college,standard,none,63.0,65.0,61.0,Intermediate,Intermediate,Intermediate
32,female,group E,master's degree,free/reduced,none,56.0,72.0,65.0,Intermediate,Intermediate,Intermediate
33,male,group D,some college,standard,none,40.0,42.0,38.0,Elementary,Elementary,Elementary
34,male,group E,some college,standard,none,97.0,87.0,82.0,Master,Advanced,Advanced
35,male,group E,associate's degree,standard,completed,81.0,81.0,79.0,Advanced,Advanced,Advanced
36,female,group D,associate's degree,standard,none,74.0,81.0,83.0,Intermediate,Advanced,Advanced
37,female,group D,some high school,free/reduced,none,50.0,64.0,59.0,Intermediate,Intermediate,Intermediate
38,female,group D,associate's degree,free/reduced,completed,75.0,90.0,88.0,Intermediate,Advanced,Advanced
39,male,group B,associate's degree,free/reduced,none,57.0,56.0,57.0,Intermediate,Intermediate,Intermediate
40,male,group C,associate's degree,free/reduced,none,55.0,61.0,54.0,Intermediate,Intermediate,Intermediate
41,female,group C,associate's degree,standard,none,58.0,73.0,68.0,Intermediate,Intermediate,Intermediate
42,female,group B,associate's degree,standard,none,53.0,58.0,65.0,Intermediate,Intermediate,Intermediate
43,male,group B,some college,free/reduced,completed,59.0,65.0,66.0,Intermediate,Intermediate,Intermediate
44,female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0,Intermediate,Intermediate,Intermediate
45,male,group B,associate's degree,standard,none,65.0,54.0,57.0,Intermediate,Intermediate,Intermediate
46,female,group A,associate's degree,standard,completed,55.0,65.0,62.0,Intermediate,Intermediate,Intermediate
47,female,group C,high school,standard,none,66.0,71.0,76.0,Intermediate,Intermediate,Advanced
48,female,group D,associate's degree,free/reduced,completed,57.0,74.0,76.0,Intermediate,Intermediate,Advanced
49,male,group C,high school,standard,completed,82.0,84.0,82.0,Advanced,Advanced,Advanced
50,male,group E,some college,standard,none,53.0,55.0,48.0,Intermediate,Intermediate,Intermediate
51,male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0,Advanced,Intermediate,Intermediate
52,male,group C,some college,standard,none,53.0,44.0,42.0,Intermediate,Elementary,Elementary
53,male,group D,high school,standard,none,88.0,78.0,75.0,Advanced,Advanced,Intermediate
54,female,group C,some high school,free/reduced,completed,71.0,84.0,87.0,Intermediate,Advanced,Advanced
55,female,group C,high school,free/reduced,none,33.0,41.0,43.0,Elementary,Elementary,Elementary
56,female,group E,associate's degree,standard,completed,82.0,85.0,86.0,Advanced,Advanced,Advanced
57,male,group D,associate's degree,standard,none,52.0,55.0,49.0,Intermediate,Intermediate,Intermediate
58,male,group D,some college,standard,completed,58.0,59.0,58.0,Intermediate,Intermediate,Intermediate
59,female,group C,some high school,free/reduced,none,27.0,29.0,25.875,Elementary,Elementary,Elementary
60,male,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0,Advanced,Intermediate,Intermediate
61,male,group A,some high school,free/reduced,none,39.0,39.0,34.0,Elementary,Elementary,Elementary
62,male,group A,associate's degree,free/reduced,none,62.0,61.0,55.0,Intermediate,Intermediate,Intermediate
63,female,group C,associate's degree,standard,none,69.0,80.0,71.0,Intermediate,Advanced,Intermediate
64,female,group D,some high school,standard,none,59.0,58.0,59.0,Intermediate,Intermediate,Intermediate
65,male,group B,some high school,standard,none,67.0,64.0,61.0,Intermediate,Intermediate,Intermediate
66,male,group D,some high school,free/reduced,none,45.0,37.0,37.0,Elementary,Elementary,Elementary
67,female,group C,some college,standard,none,60.0,72.0,74.0,Intermediate,Intermediate,Intermediate
68,male,group B,associate's degree,free/reduced,none,61.0,58.0,56.0,Intermediate,Intermediate,Intermediate
69,female,group C,associate's degree,standard,none,39.0,64.0,57.0,Elementary,Intermediate,Intermediate
70,female,group D,some college,free/reduced,completed,58.0,63.0,73.0,Intermediate,Intermediate,Intermediate
71,male,group D,some college,standard,completed,63.0,55.0,63.0,Intermediate,Intermediate,Intermediate
72,female,group A,associate's degree,free/reduced,none,41.0,51.0,48.0,Elementary,Intermediate,Intermediate
73,male,group C,some high school,free/reduced,none,61.0,57.0,56.0,Intermediate,Intermediate,Intermediate
74,male,group C,some high school,standard,none,49.0,49.0,41.0,Intermediate,Intermediate,Elementary
75,male,group B,associate's degree,free/reduced,none,44.0,41.0,38.0,Elementary,Elementary,Elementary
76,male,group E,some high school,standard,none,30.0,29.0,25.875,Elementary,Elementary,Elementary
77,male,group A,bachelor's degree,standard,completed,80.0,78.0,81.0,Advanced,Advanced,Advanced
78,female,group D,some high school,standard,completed,61.0,74.0,72.0,Intermediate,Intermediate,Intermediate
79,female,group E,master's degree,standard,none,62.0,68.0,68.0,Intermediate,Intermediate,Intermediate
80,female,group B,associate's degree,standard,none,47.0,49.0,50.0,Intermediate,Intermediate,Intermediate
81,male,group B,high school,free/reduced,none,49.0,45.0,45.0,Intermediate,Elementary,Elementary
82,male,group A,some college,free/reduced,completed,50.0,47.0,54.0,Intermediate,Intermediate,Intermediate
83,male,group E,associate's degree,standard,none,72.0,64.0,63.0,Intermediate,Intermediate,Intermediate
84,male,group D,high school,free/reduced,none,42.0,39.0,34.0,Elementary,Elementary,Elementary
85,female,group C,some college,standard,none,73.0,80.0,82.0,Intermediate,Advanced,Advanced
86,female,group C,some college,free/reduced,none,76.0,83.0,88.0,Advanced,Advanced,Advanced
87,female,group D,associate's degree,standard,none,71.0,71.0,74.0,Intermediate,Intermediate,Intermediate
88,female,group A,some college,standard,none,58.0,70.0,67.0,Intermediate,Intermediate,Intermediate
89,female,group D,some high school,standard,none,73.0,86.0,82.0,Intermediate,Advanced,Advanced
90,female,group C,bachelor's degree,standard,none,65.0,72.0,74.0,Intermediate,Intermediate,Intermediate
91,male,group C,high school,free/reduced,none,27.0,34.0,36.0,Elementary,Elementary,Elementary
92,male,group C,high school,standard,none,71.0,79.0,71.0,Intermediate,Advanced,Intermediate
93,male,group C,associate's degree,free/reduced,completed,43.0,45.0,50.0,Elementary,Elementary,Intermediate
94,female,group B,some college,standard,none,79.0,86.0,92.0,Advanced,Advanced,Master
95,male,group C,associate's degree,free/reduced,completed,78.0,81.0,82.0,Advanced,Advanced,Advanced
96,male,group B,some high school,standard,completed,65.0,66.0,62.0,Intermediate,Intermediate,Intermediate
97,female,group E,some college,standard,completed,63.0,72.0,70.0,Intermediate,Intermediate,Intermediate
98,female,group D,some college,free/reduced,none,58.0,67.0,62.0,Intermediate,Intermediate,Intermediate
99,female,group D,bachelor's degree,standard,none,65.0,67.0,62.0,Intermediate,Intermediate,Intermediate
100,male,group B,some college,standard,none,79.0,67.0,67.0,Advanced,Intermediate,Intermediate
101,male,group D,bachelor's degree,standard,completed,68.0,74.0,74.0,Intermediate,Intermediate,Intermediate
102,female,group D,associate's degree,standard,none,85.0,91.0,89.0,Advanced,Master,Advanced
103,male,group B,high school,standard,completed,60.0,44.0,47.0,Intermediate,Elementary,Intermediate
