gender,race/ethnicity,lunch,test preparation course,math score,reading score,writing score,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,score_category_math_Advanced,score_category_math_Elementary,score_category_math_Intermediate,score_category_math_Master,score_category_reading_Advanced,score_category_reading_Elementary,score_category_reading_Intermediate,score_category_reading_Master,score_category_writing_Advanced,score_category_writing_Elementary,score_category_writing_Intermediate,score_category_writing_Master
0,1,1,0,72.0,72.0,74.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,1,69.0,90.0,88.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
0,1,1,0,90.0,95.0,93.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,0,0,47.0,57.0,44.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
1,2,1,0,76.0,78.0,75.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
0,1,1,0,71.0,83.0,78.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
0,1,1,1,88.0,95.0,92.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
1,1,0,0,40.0,43.0,39.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
1,3,0,1,64.0,64.0,67.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,0,0,38.0,60.0,50.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1,2,1,0,58.0,54.0,52.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,0,40.0,52.0,43.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
0,1,1,0,65.0,81.0,73.0,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,0,1,1,78.0,72.0,70.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,50.0,53.0,58.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,0,69.0,75.0,78.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
1,2,1,0,88.0,89.0,86.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,1,0,0,27.0,32.0,28.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
1,2,0,1,46.0,42.0,46.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
0,2,0,0,54.0,58.0,61.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,0,66.0,69.0,63.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,0,1,65.0,75.0,70.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,0,44.0,54.0,53.0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
0,2,1,0,69.0,73.0,73.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
1,3,0,1,74.0,71.0,80.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
1,0,0,0,73.0,74.0,72.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,1,1,0,69.0,54.0,55.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,0,67.0,69.0,75.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,1,0,70.0,70.0,65.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,0,62.0,70.0,75.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,3,1,0,69.0,74.0,74.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,1,1,0,63.0,65.0,61.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
0,4,0,0,56.0,72.0,65.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,3,1,0,40.0,42.0,38.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False
1,4,1,0,97.0,87.0,82.0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False
1,4,1,1,81.0,81.0,79.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,3,1,0,74.0,81.0,83.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
0,3,0,0,50.0,64.0,59.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,3,0,1,75.0,90.0,88.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
1,1,0,0,57.0,56.0,57.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,2,0,0,55.0,61.0,54.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,2,1,0,58.0,73.0,68.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
